index,period_start,period_end,symbol,source
SET100,2016-01-01,2016-06-30,AAV,SET50_100_H1_2016-Merger.pdf
SET100,2016-01-01,2016-06-30,ADVANC,SET50_100_H1_2016-Merger.pdf
SET100,2016-01-01,2016-06-30,AMATA,SET50_100_H1_2016-Merger.pdf
SET100,2016-01-01,2016-06-30,ANAN,SET50_100_H1_2016-Merger.pdf
SET100,2016-01-01,2016-06-30,AOT,SET50_100_H1_2016-Merger.pdf
SET100,2016-01-01,2016-06-30,AP,SET50_100_H1_2016-Merger.pdf
SET100,2016-01-01,2016-06-30,BA,SET50_100_H1_2016-Merger.pdf
SET100,2016-01-01,2016-06-30,BANPU,SET50_100_H1_2016-Merger.pdf
SET100,2016-01-01,2016-06-30,BBL,SET50_100_H1_2016-Merger.pdf
SET100,2016-01-01,2016-06-30,BCP,SET50_100_H1_2016-Merger.pdf
SET100,2016-01-01,2016-06-30,BDMS,SET50_100_H1_2016-Merger.pdf
SET100,2016-01-01,2016-06-30,BEAUTY,SET50_100_H1_2016-Merger.pdf
SET100,2016-01-01,2016-06-30,BEC,SET50_100_H1_2016-Merger.pdf
SET100,2016-01-01,2016-06-30,BEM,SET50_100_H1_2016-Merger.pdf
SET100,2016-01-01,2016-06-30,BH,SET50_100_H1_2016-Merger.pdf
SET100,2016-01-01,2016-06-30,BJCHI,SET50_100_H1_2016-Merger.pdf
SET100,2016-01-01,2016-06-30,BLA,SET50_100_H1_2016-Merger.pdf
SET100,2016-01-01,2016-06-30,BLAND,SET50_100_H1_2016-Merger.pdf
SET100,2016-01-01,2016-06-30,BTS,SET50_100_H1_2016-Merger.pdf
SET100,2016-01-01,2016-06-30,CBG,SET50_100_H1_2016-Merger.pdf
SET100,2016-01-01,2016-06-30,CENTEL,SET50_100_H1_2016-Merger.pdf
SET100,2016-01-01,2016-06-30,CHG,SET50_100_H1_2016-Merger.pdf
SET100,2016-01-01,2016-06-30,CK,SET50_100_H1_2016-Merger.pdf
SET100,2016-01-01,2016-06-30,CKP,SET50_100_H1_2016-Merger.pdf
SET100,2016-01-01,2016-06-30,CPALL,SET50_100_H1_2016-Merger.pdf
SET100,2016-01-01,2016-06-30,CPF,SET50_100_H1_2016-Merger.pdf
SET100,2016-01-01,2016-06-30,CPN,SET50_100_H1_2016-Merger.pdf
SET100,2016-01-01,2016-06-30,DELTA,SET50_100_H1_2016-Merger.pdf
SET100,2016-01-01,2016-06-30,DTAC,SET50_100_H1_2016-Merger.pdf
SET100,2016-01-01,2016-06-30,EARTH,SET50_100_H1_2016-Merger.pdf
SET100,2016-01-01,2016-06-30,EGCO,SET50_100_H1_2016-Merger.pdf
SET100,2016-01-01,2016-06-30,EPG,SET50_100_H1_2016-Merger.pdf
SET100,2016-01-01,2016-06-30,GL,SET50_100_H1_2016-Merger.pdf
SET100,2016-01-01,2016-06-30,GLOW,SET50_100_H1_2016-Merger.pdf
SET100,2016-01-01,2016-06-30,GPSC,SET50_100_H1_2016-Merger.pdf
SET100,2016-01-01,2016-06-30,GUNKUL,SET50_100_H1_2016-Merger.pdf
SET100,2016-01-01,2016-06-30,HANA,SET50_100_H1_2016-Merger.pdf
SET100,2016-01-01,2016-06-30,HMPRO,SET50_100_H1_2016-Merger.pdf
SET100,2016-01-01,2016-06-30,ICHI,SET50_100_H1_2016-Merger.pdf
SET100,2016-01-01,2016-06-30,INTUCH,SET50_100_H1_2016-Merger.pdf
SET100,2016-01-01,2016-06-30,IRPC,SET50_100_H1_2016-Merger.pdf
SET100,2016-01-01,2016-06-30,ITD,SET50_100_H1_2016-Merger.pdf
SET100,2016-01-01,2016-06-30,IVL,SET50_100_H1_2016-Merger.pdf
SET100,2016-01-01,2016-06-30,JAS,SET50_100_H1_2016-Merger.pdf
SET100,2016-01-01,2016-06-30,KBANK,SET50_100_H1_2016-Merger.pdf
SET100,2016-01-01,2016-06-30,KCE,SET50_100_H1_2016-Merger.pdf
SET100,2016-01-01,2016-06-30,KKP,SET50_100_H1_2016-Merger.pdf
SET100,2016-01-01,2016-06-30,KTB,SET50_100_H1_2016-Merger.pdf
SET100,2016-01-01,2016-06-30,KTC,SET50_100_H1_2016-Merger.pdf
SET100,2016-01-01,2016-06-30,LH,SET50_100_H1_2016-Merger.pdf
SET100,2016-01-01,2016-06-30,LHBANK,SET50_100_H1_2016-Merger.pdf
SET100,2016-01-01,2016-06-30,LPN,SET50_100_H1_2016-Merger.pdf
SET100,2016-01-01,2016-06-30,M,SET50_100_H1_2016-Merger.pdf
SET100,2016-01-01,2016-06-30,MAJOR,SET50_100_H1_2016-Merger.pdf
SET100,2016-01-01,2016-06-30,MINT,SET50_100_H1_2016-Merger.pdf
SET100,2016-01-01,2016-06-30,PLANB,SET50_100_H1_2016-Merger.pdf
SET100,2016-01-01,2016-06-30,PLAT,SET50_100_H1_2016-Merger.pdf
SET100,2016-01-01,2016-06-30,PS,SET50_100_H1_2016-Merger.pdf
SET100,2016-01-01,2016-06-30,PTG,SET50_100_H1_2016-Merger.pdf
SET100,2016-01-01,2016-06-30,PTT,SET50_100_H1_2016-Merger.pdf
SET100,2016-01-01,2016-06-30,PTTEP,SET50_100_H1_2016-Merger.pdf
SET100,2016-01-01,2016-06-30,PTTGC,SET50_100_H1_2016-Merger.pdf
SET100,2016-01-01,2016-06-30,QH,SET50_100_H1_2016-Merger.pdf
SET100,2016-01-01,2016-06-30,ROBINS,SET50_100_H1_2016-Merger.pdf
SET100,2016-01-01,2016-06-30,RS,SET50_100_H1_2016-Merger.pdf
SET100,2016-01-01,2016-06-30,S,SET50_100_H1_2016-Merger.pdf
SET100,2016-01-01,2016-06-30,SAMART,SET50_100_H1_2016-Merger.pdf
SET100,2016-01-01,2016-06-30,SAMTEL,SET50_100_H1_2016-Merger.pdf
SET100,2016-01-01,2016-06-30,SAWAD,SET50_100_H1_2016-Merger.pdf
SET100,2016-01-01,2016-06-30,SCB,SET50_100_H1_2016-Merger.pdf
SET100,2016-01-01,2016-06-30,SCC,SET50_100_H1_2016-Merger.pdf
SET100,2016-01-01,2016-06-30,SCCC,SET50_100_H1_2016-Merger.pdf
SET100,2016-01-01,2016-06-30,SCN,SET50_100_H1_2016-Merger.pdf
SET100,2016-01-01,2016-06-30,SGP,SET50_100_H1_2016-Merger.pdf
SET100,2016-01-01,2016-06-30,SIRI,SET50_100_H1_2016-Merger.pdf
SET100,2016-01-01,2016-06-30,SPALI,SET50_100_H1_2016-Merger.pdf
SET100,2016-01-01,2016-06-30,SPCG,SET50_100_H1_2016-Merger.pdf
SET100,2016-01-01,2016-06-30,STEC,SET50_100_H1_2016-Merger.pdf
SET100,2016-01-01,2016-06-30,STPI,SET50_100_H1_2016-Merger.pdf
SET100,2016-01-01,2016-06-30,SVI,SET50_100_H1_2016-Merger.pdf
SET100,2016-01-01,2016-06-30,TASCO,SET50_100_H1_2016-Merger.pdf
